dcm,-0.288969,-0.288959,-0.14463499,-0.13875,-0.138749,-0.370662,-0.370661,-0.08890599,-0.08890499,-0.08086699,-0.3298155,-0.32981,-0.113827996,-0.113827,-0.11275099,0.26,0.11,0.09,9.1,18.5,3,7,46.5,0.1,0.1,0.43,0.42,8.93,0.55,1.1,0.1,7.6,0.1,0.1,1.6,-97,39.6,0.43,6,22.9,1.42,8.93,0.43,3.1,11.32,0.2,1,1.33,29.8,84.93,1.33,27.2,0.31,-0.47,0.1,0.01,0.6,447,-24,0,1.45,83.881,-13.3905,-0.5727,0.244,0.6054,-0.2653,0.1783,0.2739,-0.2715,0.0154,0.2395,-0.2345,0.2274,-0.2286,0.0078,0.1385,0.0134,0.678,0.2153,-0.1333,-0.0595,0.3021,0.1571,-0.4004,0.1898,-0.1197,-0.0219,0.1387,0.0398,0.0378,0.1073,-0.1713,-0.0165,-0.0516,0.0558,0.2513,-0.0177,-0.2568,-0.2187,0.138,-0.2718,-0.113,-0.0832,-0.1436,-0.056,0.1593,-0.2418,-0.1258,-0.1665,-0.1096,0.2441,-0.1078,0.1848,0.0881,-0.0212
chloroform,-0.27218997,-0.271976,-0.271819,-0.099958,-0.08405,-0.312534,-0.310512,-0.310417,-0.037590005,-0.028945997,-0.29217649,-0.291351,-0.2911965,-0.064452,-0.060820002,0.18,0.15,0.09,9.1,17.5,3.1,8.8,47.5,0.2,0.1,0.44,0.15,4.81,0.58,0.98,0.2,8.5,0,0.1,1.04,-63.5,61.2,0.56,6.5,23.8,1.45,4.81,0.29,4.1,11.37,0,1,0.96,29.2,119.38,1.49,27.1,0.26,-0.53,0.16,0.01,0.6,197,-23,0,1.5,117.896,-18.8224,-0.5823,-0.0911,0.9178,-0.1964,0.5801,-0.1015,0.1566,-0.2014,0.3894,-0.4164,0.4164,-0.1657,-0.393,0.0898,0.0283,0.3547,0.1279,-0.1111,-0.0191,0.3421,-0.0451,-0.1723,-0.1817,0.0199,0.0405,-0.0976,-0.0829,0.0275,0.0125,-0.0077,0.017,-0.0163,0.0079,0.0868,0.0744,-0.0038,-0.1012,0.0163,0.0397,-0.005,-0.2269,-0.1005,-0.0689,0.0474,-0.2411,-0.1151,-0.3722,-0.1665,-0.0804,0.1267,0.0225,0.1738,0.0278
dichloroethylene,-0.211507,-0.211507,-0.189699,-0.18969801,-0.098793,-0.257673,-0.257672,-0.17702,-0.17702,-0.06531,-0.2236855,-0.2236855,-0.19426349,-0.19426349,-0.0820515,0.15,0.05,0.15,10.7,17,1.5,5.5,46,0.1,0.2,0.5,0.24,9.08,0.55,1.1,0.1,8.8,0,0.1,1.4,-50,48.5,0.94,6.3,25.6,1.45,7.5,0.27,3.3,10.35,0,1,1.2,27,96.94,1.26,23.7,0.23,-0.51,0.1,0.01,0.5,225,-17,0,2.01,95.7437,-15.3037,-0.402,-0.097,0.707,-0.0192,0.4559,0.0292,-0.2829,-0.2402,0.0592,-0.5219,0.1546,-0.2268,0.0054,-0.0302,-0.0197,0.3852,-0.0466,-0.0399,-0.3196,0.6022,0.1527,-0.3641,-0.3488,0.2416,-0.1661,0.0414,-0.1894,0.0842,0.0425,-0.2115,-0.1824,-0.0714,0.0839,-0.0206,0.1514,-0.287,-0.1723,-0.0585,0.1032,-0.0544,-0.1657,-0.2432,0.028,0.272,-0.0436,0.1231,-0.3109,0.044,0.179,0.1178,0.1954,0.2717,0.3099
orthodichlorobenzene,-0.149429,-0.149429,-0.091965,-0.091964,-0.081089996,-0.165625,-0.165622,-0.117447,-0.117445,-0.09361,-0.1233575,-0.123356,-0.104706004,-0.1047045,-0.0981725,0.15,0.1,0.14,18.8,18,2.3,5.5,45,0,0.11,0.31,0.12,9.93,0.5,1,0.1,9.3,0,0.14,2.38,-17,180.5,0.91,6.2,24.6,1.53,9.93,0.22,3.7,9.07,0,1,1.34,36.5,147,1.31,34.6,0.2,-0.5,0.11,0.01,0.7,1.7,90,0,2.77,145.1967,-23.2551,1.395,-0.1135,0.1979,-0.2201,0.1421,-0.0321,-0.2107,0.285,0.1784,-0.3953,0.1863,-0.1962,-0.2083,-0.1293,0.1561,0.7077,0.1184,0.0187,-0.2616,0.4456,0.1523,0.0008,-0.2599,-0.2838,-0.234,-0.3668,-0.1924,0.1309,-0.0003,0.2589,-0.1187,-0.3385,0.4343,0.1647,0.1537,-0.1447,-0.006,0.5776,0.0695,0.0018,-0.0282,-0.1286,-0.1058,0.0999,-0.0407,-0.0675,-0.4036,0.137,0.0993,0.1201,0.058,-0.3155,-0.3815
anisole,-0.138914,-0.138383,-0.123586,-0.109574996,-0.068793,-0.142219,-0.12356301,-0.095712,-0.094918996,-0.081859,-0.116651,-0.106781006,-0.104876004,-0.095717,-0.0916215,0.05,0,0.16,18.6,18,1,6.5,44.5,0,0.27,0.55,0.18,4.33,0.5,1,0,9.3,0,0.44,1.23,-37,154.2,0.98,5.9,24.6,1.52,4.33,0.1,3.9,8.5,0,1,1.6,40.2,108.14,1,32.8,0.22,-0.5,0.08,0.01,0.7,1.9,61,12.9,2.32,108.2794,-7.9416,1.5964,0.1553,-1.3184,-0.6583,-0.2609,-0.4483,0.224,-0.087,-0.5936,0.4585,-0.3159,0.5976,-0.5138,-0.1705,-0.181,0.1928,0.0003,0.3208,0.2328,0.2514,0.1376,-0.1412,-0.2022,0.1913,0.1317,-0.3778,-0.0679,0.3186,0.491,-0.2566,0.1688,-0.5088,-0.0594,0.1086,-0.2359,-0.4274,-0.1107,-0.4825,-0.0759,-0.0482,0.0277,0.2924,0.0682,0.0343,-0.0716,-0.5671,0.0702,0.0017,-0.0533,-0.253,-0.3427,0.3762,0.1615
hexane,-0.08338,-0.08338,-0.083343,-0.083337,-0.061628,-0.081872,-0.081871,-0.081867,-0.081867,-0.061481997,-0.0826235,-0.0826235,-0.082607,-0.0826045,-0.0615545,0,0,0.13,14.9,17.5,0,0.5,42,0,0,0,-0.34,1.89,0.3,0.45,0,12.8,0,0,0.08,-95.3,69,0.36,4.4,14.5,1.38,1.89,-0.37,0.1,11.5,0,1,2.26,28.9,86.18,0.66,18.4,0,-0.54,-0.39,0.01,0.7,150,-7,0,4.09,85.1314,-13.6325,-0.7837,1.3218,-0.2223,1.1035,-0.5135,0.9805,-0.6758,-0.2866,0.2378,-0.319,-0.1859,0.2002,-0.4887,-0.0926,-0.4526,-0.2125,-0.0219,0.238,0.1892,0.1157,-0.1859,0.0064,-0.2089,-0.1355,0.1715,0.0004,0.014,-0.0244,-0.0547,-0.1459,0.0358,0.0041,-0.0782,0.0323,0.0084,-0.0119,-0.1323,0.1538,-0.0993,-0.0399,0.0255,-0.0026,-0.014,0.0044,0.0652,-0.0221,0.0972,0.0345,0.0723,-0.0501,0.0042,-0.0686,-0.0412
chlorobenzene,-0.13286999,-0.13286999,-0.124671,-0.124671,-0.08028299,-0.219015,-0.152766,-0.11169901,-0.077916995,-0.077916995,-0.149649,-0.1096665,-0.103992,-0.103992,-0.101293996,0,0,0.16,18.7,18.7,1.5,4.9,45,0,0.1,0.31,0.02,5.62,0.4,1,0.1,10.5,0.1,0.2,1.7,-45.3,131.7,0.94,5.3,21.9,1.53,5.62,0,3.7,9.07,0,1,1.54,33,112.56,1.11,33,0.18,-0.49,-0.03,0.01,0.8,13.3,29,0,2.43,111.1804,-17.8208,1.8379,-0.0307,-0.0548,-0.2612,0.0273,-0.067,-0.296,0.2975,0.1909,-0.0913,0.1767,0.0967,-0.3112,0.1334,0.152,0.6501,0.0956,-0.1148,-0.3703,0.431,0.1154,0.0212,-0.2008,-0.2188,0.2771,-0.0225,-0.0174,0.2255,0.0547,0.1776,-0.1951,-0.3055,0.4706,0.2033,0.0926,-0.2368,-0.0005,0.3137,0.0264,-0.0758,0.0264,-0.3965,0.0906,0.0633,-0.1739,-0.0965,-0.4065,-0.0283,0.0821,-0.1257,0.4241,-0.0472,-0.2358
cyclohexane,-0.086409,-0.086259,-0.085885,-0.085809,-0.085597,-0.080009,-0.080008,-0.079917,-0.079917,-0.079906,-0.0639235,-0.0638485,-0.063634,-0.0635965,-0.063566,0,0,0.17,14.9,17,0,4.1,44.5,0,0,0,-0.28,2.02,0.3,0.5,0,12.3,0,0,0,6.5,80.7,0.32,4.7,14.9,1.43,2.02,-0.3,0.2,9.88,0,1,1.85,33.1,84.16,0.78,25.5,0.01,-0.54,-0.39,0.01,0.9,95.1,-20,0,3.45,83.1295,-13.3148,-0.4166,-0.4651,0.4991,0.7545,-0.3474,-0.2672,-0.4069,-0.1984,-0.1294,0.0366,0.6992,0.1028,-0.0197,-0.2922,0.0473,0.1745,-0.2625,0.145,0.0447,-0.2524,-0.0214,-0.0782,-0.0267,0.2229,-0.0054,0.0475,0.3883,-0.3081,-0.0001,0.0095,-0.0203,-0.1036,-0.0304,0.0414,0.0702,-0.1995,-0.1165,0.0252,0.2278,0.1359,-0.1404,0.1363,0.126,0.0244,-0.0784,0.255,-0.0468,-0.0497,-0.0944,-0.0548,0.0329,-0.0555,0.0332
ethylbenzene,-0.12636301,-0.126102,-0.118252,-0.117966995,-0.065909,-0.156821,-0.12803301,-0.081309,-0.081291,-0.075649,-0.109622,-0.101006,-0.100862496,-0.0997805,-0.099629,0.09,0,0.18,18.4,18.8,0.6,6,45.5,0,0.11,0.31,-0.03,2.56,0.3,0.62,0,12.4,0,0.14,0.6,-95,136.2,0.87,5.1,24.2,1.49,2.37,0,2.6,8.56,0,1,1.76,38.7,106.17,0.87,28,0.11,-0.51,-0.22,0.01,0.7,4.8,-30,0,3.19,104.8785,-16.7933,1.5235,0.9039,-0.8143,0.0344,-0.5766,0.6421,-0.145,0.407,0.0217,0.4743,0.0091,0.4891,0.2216,0.9605,-0.0663,0.4609,0.2676,0.155,-0.0493,-0.1038,-0.0826,-0.3307,0.1959,0.0276,-0.0386,0.3212,0.1409,-0.0839,-0.105,-0.5815,0.2502,-0.0716,-0.3248,-0.3051,-0.1552,0.1085,0.0723,-0.0714,0.0193,-0.075,-0.025,-0.1487,0.0775,-0.229,-0.1734,0.4111,-0.0063,-0.003,-0.2792,0.6241,0.1256,0.2099,-0.331
tButanol,-0.468594,-0.104271,-0.104145005,-0.09378001,-0.035257004,-0.375623,-0.10151498,-0.063226,-0.063199,-0.055811003,-0.2850545,-0.2347015,-0.068292,-0.068232,-0.049228,0.56,0.5,0.29,23.4,16.5,5,12.5,52,0.77,0.7,0.62,0.3,12.5,0.4,1,0.35,8.3,0.31,1.24,1.66,25.5,82.4,0.81,5.8,25.6,1.42,12.47,0.42,3.9,10.5,1,0.2,2.37,43.3,74.12,0.78,20.4,0.27,0.61,0.17,1,1,40,11,20.23,0.35,76.4005,8.3369,-0.0233,0.5468,0.6563,0.3449,0.0113,-0.1804,0.2752,-0.6427,-0.2285,0.6933,-0.6562,-0.0514,0.5331,-0.3071,0.1125,-0.0608,-0.0876,-0.0737,-0.4677,-0.2071,-0.1087,0.3147,-0.237,-0.27,0.0679,-0.2693,0.0323,-0.0137,-0.3214,0.1335,0.0755,-0.199,-0.1522,-0.247,-0.0394,-0.0991,0.0738,-0.0294,0.017,0.2625,-0.0944,-0.2283,0.0364,-0.0192,0.2629,-0.0392,-0.1311,-0.0186,0.0711,-0.2513,0.1516,-0.0622,-0.1158
